"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;;;"Goldsworthy";;"kavel@parliament.sa.gov.au";;"Kavel";;;;;;;"48 Hutchinson Street";;"Mount Barker";"SA";5251;;;;;;;;;;;;;;;;;;;;;;;
;;;"Griffiths";;"goyder@parliament.sa.gov.au";;"Goyder";;;;;;;"51 Robert Street";;"Maitland";"SA";5573;;;;;;;;;;;;;;;;;;;;;;;
;;;"Hamilton-Smith";;"waite@parliament.sa.gov.au";;"Waite";;;;;;;"PO Box 275";;"Torrens Park";"SA";5062;;;;;;;;;;;;;;;;;;;;;;;
;;;"Hill";;"kaurna@parliament.sa.gov.au";;"Kaurna";;;;;;;"99 Dyson Road";;"Christies Beach";"SA";5165;;;;;;;;;;;;;;;;;;;;;;;
;;;"Kenyon";;"newland@parliament.sa.gov.au";;"Newland";;;;;;;"Office 4";"1257 North East Road";"Ridgehaven";"SA";5097;;;;;;;;;;;;;;;;;;;;;;;
;;;"Key";;"ashford@parliament.sa.gov.au";;"Ashford";;;;;;;"407 Marion Road";;"Plympton";"SA";5038;;;;;;;;;;;;;;;;;;;;;;;
;;;"Koutsantonis";;"westtorrens@parliament.sa.gov.au";;"West Torrens";;;;;;;"229 Henley Beach Road";;"Torrensville";"SA";5031;;;;;;;;;;;;;;;;;;;;;;;
;;;"Marshall";;"norwood@parliament.sa.gov.au";;"Norwood";;;;;;;"Unit 2 ";"90-94 The Parade";"Norwood";"SA";5067;;;;;;;;;;;;;;;;;;;;;;;
;;;"McFetridge";;"morphett@parliament.sa.gov.au";;"Morphett";;;;;;;"4 Byron Street";;"Glenelg";"SA";5045;;;;;;;;;;;;;;;;;;;;;;;
;;;"O'Brien";;"napier@parliament.sa.gov.au";;"Napier";;;;;;;"PO Box 159";;"Elizabeth";"SA";5112;;;;;;;;;;;;;;;;;;;;;;;
;;;"Odenwalder";;"littlepara@parliament.sa.gov.au";;"Little Para";;;;;;;"PO Box 1046";;"Elizabeth Vale";"SA";5112;;;;;;;;;;;;;;;;;;;;;;;
;;;"Pederick";;"hammond@parliament.sa.gov.au";;"Hammond";;;;;;;"20 Mannum Road";;"Murray Bridge";"SA";5253;;;;;;;;;;;;;;;;;;;;;;;
;;;"Pegler";;"mtgambier@parliament.sa.gov.au";;"Mount Gambier";;;;;;;"24a Bay Road";;"Mount Gambier";"SA";5290;;;;;;;;;;;;;;;;;;;;;;;
;;;"Pengilly";;"finniss.ki@parliament.sa.gov.au (Kangaroo Island)";;"Finniss";;;;;;;"71 Victoria Street";;"Victor Harbor";"SA";5211;;;;;;;;;;;;;;;;;;;;;;;
;;;"Piccolo";;"light@parliament.sa.gov.au";;"Light";;;;;;;"148 Murray Street";;"Gawler";"SA";5118;;;;;;;;;;;;;;;;;;;;;;;
;;;"Pisoni";;"unley@parliament.sa.gov.au";;"Unley";;;;;;;"372 Unley Road";;"Unley Park";"SA";5061;;;;;;;;;;;;;;;;;;;;;;;
;;;"Portolesi";;"hartley@parliament.sa.gov.au";;"Hartley";;;;;;;"PO Box 2151";;"Felixstow";"SA";5070;;;;;;;;;;;;;;;;;;;;;;;
;;;"Rankine";;"wright@parliament.sa.gov.au";;"Wright";;;;;;;"PO Box 1111";;"Golden Grove Village";"SA";5125;;;;;;;;;;;;;;;;;;;;;;;
;;;"Rau";;"enfield@parliament.sa.gov.au";;"Enfield";;;;;;;"PO Box 286";;"Kilburn";"SA";5084;;;;;;;;;;;;;;;;;;;;;;;
;;;"Redmond";;"heysen@parliament.sa.gov.au";;"Heysen";;;;;;;"14 Druids Avenue";;"Stirling";"SA";5152;;;;;;;;;;;;;;;;;;;;;;;
;;;"Sanderson";;"adelaide@parliament.sa.gov.au";;"Adelaide";;;;;;;"84 Prospect Road";;"Prospect";"SA";5082;;;;;;;;;;;;;;;;;;;;;;;
;;;"Sibbons";;"mitchell@parliament.sa.gov.au";;"Mitchell";;;;;;;"867 Marion Road";;"Mitchell Park";"SA";5043;;;;;;;;;;;;;;;;;;;;;;;
;;;"Snelling";;"playford@parliament.sa.gov.au";;"Playford";;;;;;;"Unit 1";"3 Wilkinson Road";"Para Hills";"SA";5096;;;;;;;;;;;;;;;;;;;;;;;
;;;"Such";;"fisher@parliament.sa.gov.au";;"Fisher";;;;;;;"Shop 11";"Aberfoyle Hub Shopping Centre";"Aberfoyle Park";"SA";5159;;;;;;;;;;;;;;;;;;;;;;;
;;;"Thompson";;"reynell@parliament.sa.gov.au";;"Reynell";;;;;;;"198 Main South Road";;"Morphett Vale";"SA";5162;;;;;;;;;;;;;;;;;;;;;;;
;;;"Treloar";;"flinders.portlincoln@parliament.sa.gov.au";;"Flinders";;;;;;;"PO Box 1798";;"Port Lincoln";"SA";5606;;;;;;;;;;;;;;;;;;;;;;;
;;;"van Holst Pellekaan";;"stuart.kapunda@parliament.sa.gov.au (part-time)";;"Stuart";;;;;;;"Shop 2";"5 Young Street";"Port augusta";"SA";5700;;;;;;;;;;;;;;;;;;;;;;;
;;;"Venning";;"schubert@parliament.sa.gov.au";;"Schubert";;;;;;;"129A Murray Street";;"Tanunda";"SA";5352;;;;;;;;;;;;;;;;;;;;;;;
;;;"Vlahos";;"taylor@parliament.sa.gov.au";;"Taylor";;;;;;;"Paralowie Shopping Centre
Units";"1 & 2
9 Liberator Drive";"Paralowie";"SA";5108;;;;;;;;;;;;;;;;;;;;;;;
;;;"Weatherill";;"cheltenham@parliament.sa.gov.au";;"Cheltenham";;;;;;;"PO Box 102";;"Woodville";"SA";5011;;;;;;;;;;;;;;;;;;;;;;;
;;;"Whetstone";;"chaffey@parliament.sa.gov.au";;"Chaffey";;;;;;;"13 Kay Avenue";;"Berri";"SA";5343;;;;;;;;;;;;;;;;;;;;;;;
;;;"Williams";;"mackillop@parliament.sa.gov.au";;"MacKillop";;;;;;;"30 Ormerod Street";;"Naracoorte";"SA";5271;;;;;;;;;;;;;;;;;;;;;;;
;;;"Wright";;"lee@parliament.sa.gov.au";;"Lee";;;;;;;"PO Box 4100";;"Seaton";"SA";5023;;;;;;;;;;;;;;;;;;;;;;;
