"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Mr";"Rene";"Hidding";;"rene.hidding@parliament.tas.gov.au";;"Lyons";"LIB";;;;;;"17A Marlborough Street";;"Longford";"TAS";7301;"(03) 6397 7411";;"(03) 6391 3103";;;"9 Gordon Street";;"Sorell";"TAS";7172;"(03) 6265 6600";;"(03) 6265 6611";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 8099";;"(03) 6233 2823"
;"Mr";"Will";"Hodgman";"Leader of the Opposition";"will.hodgman@parliament.tas.gov.au";;"Franklin";"LIB";;;;;;"Channel Court Shopping Centre";;"Kingston";"TAS";7050;"(03) 6211 8507";;"(03) 6229 7950";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 2634";;"(03) 6233 2823";;;;;;;;;;
;"Mr";"Nick";"McKim";"Leader of the Tasmanian Greens
Minister for Education and Skills.
Minister for Corrections and Consumer Protection.
Minister for Sustainable Transport.";"nick.mckim@parliament.tas.gov.au";;"Franklin";"GRN";;;;;;"Level 9, Marine Board Building";"1 Franklin Wharf";"Hobart";"TAS";7000;"(03) 6233 6756";;"(03) 6233 2671";;;"Level 1";"162 Macquarie Street";"Hobart";"TAS";7000;"(03) 6233 8300";;"(03) 6223 1406";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;;;
;"Mr";"Tim";"Morris";"Chair of Committees.";"tim.morris@parliament.tas.gov.au";;"Lyons";"GRN";;;;;;"Shop 9 Cove Hill Shopping Centre";;"Bridgewater";"TAS";7030;"(03) 6263 3801";;"(03) 6263 3805";;;"Level 1, 162 Macquarie Street";;"Hobart";"TAS";7000;"(03) 6233 8300";;"(03) 6223 1406";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6212 2363";;"(03) 6224 2298"
;"Mr";"David";"O’Byrne";"Minister for Infrastructure.
Minister for Police and Emergency Management. Minister for Economic Development.
Minister for Workplace Relations.
Minister for Science, Innovation and Technology.";"david.obyrne@parliament.tas.gov.au";;"Franklin";"ALP";;;;;;"9th Floor, Executive Building";"15 Murray Street";"Hobart";"TAS";7000;"(03) 6233 8892";;"(03) 6233 7663";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;;;;;;;;;;;;;
;"Ms";"Michelle";"O’Byrne,";"Minister for Health.
Minister for Children.
Minister for Sport and Recreation.
Leader of Government Business";"Michelle.obyrne@parliament.tas.gov.au";;"Bass";"ALP";;;;;;"Ground Floor, Public Building,";"53 St John Street";"Launceston";"TAS";7250;"(03) 6336 2452";;"(03) 6336 2640";;;"8th Floor, State Offices";"10 Murray Street";"Hobart";"TAS";7000;"(03) 6233 0804";;"(03) 6233 4980";;;;;;;;;;
;"Ms";"Cassy";"O’Connor";"Minister for Human Services.
Minister for Community Development. Minister for Climate Change.
Minister for Aboriginal Affairs";"cassy.oconnor@parliament.tas.gov.au";;"Denison";"GRN";;;;;;"Level 9, Marine Board Building";"1 Franklin Wharf";"Hobart";"TAS";7000;"(03) 6233 6756";;"(03) 6233 2671";;;"Level 1";"162 Macquarie Street";"Hobart";"TAS";7000;"(03) 6233 8300";;"(03) 6223 1406";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;;;
;"Mr";"Paul";"O’Halloran";"Tasmanian Greens Whip.
Parliamentary Secretary to the Minister for Education and Skills.";"paul.ohalloran@parliament.tas.gov.au";;"Braddon";"GRN";;;;;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 8300";;"(03) 6223 1406";;;;;;;;;;;;;;;;;;;;
;"Ms";"Jacquie";"Petrusma";;"jacquie.petrusma@parliament.tas.gov.au";;"Franklin";"LIB";;;;;;"27 South Arm Road";;"Rokeby";"TAS";7019;"(03) 6214 6000";;"(03) 6214 6002";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;;;;;;;;;;;;;
;"Mr";"Michael";"Polley";"Speaker";"michael.polley@parliament.tas.gov.au";;"Lyons";"ALP";;;;;;"10A Marlborough Street";;"Longford";"TAS";7301;"(03) 6397 7408";"1800 134 634";"(03) 6391 1385";;;"P O Box 206";;"Longford";"TAS";7301;;;;;;;;;;;;;
;"Mr";"Jeremy";"Rockliff";"Deputy Leader of the Opposition";"jeremy.rockliff@parliament.tas.gov.au";;"Braddon";"LIB";;;;;;"47B Best Street";;"Devonport";"TAS";7310;"(03) 6421 7930";;"(03) 6423 5819";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 6201";;"(03) 6233 2823";;;;;;;;;;
;"Mr";"Mark";"Shelton";;"mark.shelton@parliament.tas.gov.au";;"Lyons";"LIB";;;;;;"17A Marlborough Street,";;"Longford";"TAS";7301;"(03) 6397 7411";;"(03) 6391 3103";;;"9 Gordon Street";;"Sorell";"TAS";7172;"(03) 6265 6600";;"(03) 6265 6611";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 7490";;"(03) 6233 2823"
;"Mr";"Graeme";"Sturges";;"graeme.sturges@parliament.tas.gov.au";;"Denison";"ALP";;;;;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6212 2216";;;;;"95 Main Road";;"Moonah";"TAS";7009;"(03) 6233 2530";;"(03) 62787743";;;;;;;;;;
;"Ms";"Rebecca";"White";"Parliamentary Secretary to the Premier (Small Business and Cost of Living)
Government Whip.";"rebecca.white@parliament.tas.gov.au";;"Lyons";"ALP";;;;;;"10th Floor, Executive Building";"15 Murray Street";"Hobart";"TAS";7000;"(03) 6233 3974";;"(03) 6233 2806";;;"33 Cole Street";;"Sorell";"TAS";7172;"(03) 6265 6644";;;;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 2204";;"(03) 6223 3803"
;"Mr";"Brian";"Wightman";"Attorney-General
Minister for Justice
Minister for Environment, Parks and Heritage.";"brian.wightman@parliament.tas.gov.au";;"Bass";"ALP";;;;;;"Ground Floor, Public Building";"53 St John Street";"Launceston";"TAS";7250;"(03) 6336 2637";;"(03) 6336 2767";;;"10th Floor, State Offices";"10 Murray Street";"Hobart";"TAS";7000;"(03) 6233 9237";;"(03) 6223 7610";;;;;;;;;;
