"Id";"Title";"First Name";"Second Name";"Job";"Email";"Electorate";"Party";"Portfolios";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Mr";"Khalil";"Eideh";;"khalil.eideh@parliament.vic.gov.au";"Western Metropolitan";"ALP";;1;0;"Suite 2";"80 Carmody Drive";"Cairnlea";"VIC";3023;"(03) 9363 1644";;"(03) 9363 1766";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Nazih";"Elasmar";;"nazih.elasmar@parliament.vic.gov.au";"Northern Metropolitan";"ALP";;1;0;"Shop 5";"101 Burgundy Street";"Heidelberg";"VIC";3084;"(03) 9456 9244";;"(03) 9456 9877";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Andrew";"Elsbury";;"andrew.elsbury@parliament.vic.gov.au";"Western Metropolitan";"LIB";;1;0;"Shop 1";"662 Old Calder Highway";"Keilor";"VIC";3036;"(03) 9331 7644";;"(03) 9331 7430";;;;;;;;;;;;;;;;;;;;
;"Mr";"Bernie";"Finn";;"bernie.finn@parliament.vic.gov.au";"Western Metropolitan";"LIB";;1;0;"277 Hampshire Road";;"Sunshine";"VIC";3020;"(03) 9312 1212";;"(03) 9312 4598";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Matthew";"Guy";"Minister for Planning; ";"matthew.guy@parliament.vic.gov.au";"Northern Metropolitan";"LIB";;1;0;"56 Beetham Parade";;"Rosanna";"VIC";3084;"(03) 9457 5328";;"(03) 9455 2968";2;0;"Level 7";"1 Spring Street";"Melbourne";"VIC";3000;"(03) 9938 5990";;"(03) 9938 5949";;;;;;;;;;
;"Mr";"Peter";"Hall";"Leader of The Nationals in the Legislative Council; Minister for Higher Education and Skills; Minister responsible for the Teaching Profession; ";"peter.hall@parliament.vic.gov.au";"Eastern Victoria";"NAT";;1;0;"Shop 2";"181 Franklin Street";"Traralgon";"VIC";3844;"(03) 5174 7066";;"(03) 5176 1266";1;1;"PO Box 1506";;"Traralgon";"VIC";3844;;;;3;0;"2 Treasury Place";"Level 1, West Wing";"East Melbourne";"VIC";3002;"(03) 9637 3300";;"(03) 9637 2800"
;"Ms";"Colleen";"Hartland";;"colleen.hartland@parliament.vic.gov.au";"Western Metropolitan";"GRN";;1;0;"75 Victoria Street";;"Seddon";"VIC";3011;"(03) 9689 6373";;"(03) 9689 6227";1;1;"PO Box 318";" ";"Seddon West";"VIC";3011;;;;;;;;;;;;;
;"Mr";"Gavin";"Jennings";"Deputy Leader of the Opposition in the Legislative Council; Shadow Minister for Health; Shadow Minister for Mental Health; ";"gavin.jennings@parliament.vic.gov.au";"South-Eastern Metropolitan";"ALP";;1;0;"517A Princes Highway";;"Noble Park";"VIC";3174;"(03) 9548 5644";;"(03) 9548 5634";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"David";"Koch";"Government Whip in the Legislative Council; ";"david.koch@parliament.vic.gov.au";"Western Victoria";"LIB";;1;0;"69A Gheringhap Street";;"Geelong";"VIC";3220;"(03) 5222 1941";;"(03) 5222 3237";1;1;"PO Box 2273";" ";"Geelong BC";"VIC";3220;;;;;;;;;;;;;
;"Mrs";"Jan";"Kronberg";;"jan.kronberg@parliament.vic.gov.au";"Eastern Metropolitan";"LIB";;1;0;"285 Maroondah Hwy";;"Ringwood";"VIC";3134;"(03) 9870 8284";;"(03) 9870 8119";1;1;"PO Box 331";" Eastland Shopping Centre";"Ringwood";"VIC";3134;;;;;;;;;;;;;
;"Mr";"Shaun";"Leane";"Opposition Whip in the Legislative Council; ";"shaun.leane@parliament.vic.gov.au";"Eastern Metropolitan";"ALP";;1;0;"Suite 3, Level 2";"420 Burwood Highway";"Wantirna";"VIC";3152;"(03) 9887 0255";;"(03) 9887 1559";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"John";"Lenders";"Leader of the Opposition in the Legislative Council; Shadow Minister for Agriculture and Food Security; Shadow Minister for Water; Shadow Minister for Resources; Shadow Minister for Commonwealth State Relations; ";"john.lenders@parliament.vic.gov.au";"Southern Metropolitan";"ALP";;1;0;"Level 2";"55 St Andrews Place";"Melbourne";"VIC";3002;"(03) 9529 1733";;"(03) 9529 7694";;;;" ";;;;;;;;;;;;;;;;
;"Ms";"Wendy";"Lovell";"Deputy Leader of the Government in the Legislative Council; Minister for Housing; Minister for Children and Early Childhood Development; Manager of Government Business (Legislative Council); ";"wendy.lovell@parliament.vic.gov.au";"Northern Victoria";"LIB";;1;0;"138 Welsford Street";;"Shepparton";"VIC";3630;"(03) 5821 0055";;"(03) 5831 1062";3;0;"Level 22";"50 Lonsdale Street";"Melbourne";"VIC";3000;"(03) 9096 0301";;"(09) 9096 8779";;;;;;;;;;
;"Ms";"Jenny";"Mikakos";"Shadow Minister for Seniors and Ageing; Shadow Minister for Children and Young Adults; Shadow Minister for Youth Justice; ";"jenny.mikakos@parliament.vic.gov.au";"Northern Metropolitan";"ALP";;1;0;"319 Spring Street";;"Reservoir";"VIC";3073;"(03) 9462 3966";;"(03) 9460 8808";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"David";"O'Brien";;"david.o'brien@parliament.vic.gov.au";"Western Victoria";"NAT";;1;0;"2nd Floor";"1 Yarra Street, La Cabine";"Geelong";"VIC";3220;"(03) 5222 1503";;"(03)  5221 8677";;;;;" ";;;;;;;;;;;;;;;
;"Mr";"Edward";"O'Donohue";"Parliamentary Secretary for Transport; ";"edward.o'donohue@parliament.vic.gov.au";"Eastern Victoria";"LIB";;1;0;"51 James Street";;"Pakenham";"VIC";3810;"(03) 5941 1112";;"(03) 5940 0316";1;1;"PO Box 817";" ";"Pakenham";"VIC";3810;;;;;;;;;;;;;
;"Mr";"Craig";"Ondarchie";;"craig.ondarchie@parliament.vic.gov.au";"Northern Metropolitan";"LIB";;1;0;"464 High Street";;"Northcote";"VIC";3070;"(03) 9482 2799";;"(03) 9481 1839";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Martin";"Pakula";"Shadow Attorney-General; Shadow Minister for Gaming and Racing; Opposition Scrutiny of Government; ";"martin.pakula@parliament.vic.gov.au";"Western Metropolitan";"ALP";;1;0;"231 Hyde Street";;"Yarraville";"VIC";3013;"(03) 9689 6536";;"(03) 9689 5832";;;;" ";;;;;;;;;;;;;;;;
;"Ms";"Sue";"Pennicuik";"The Australian Greens Whip; ";"sue.pennicuik@parliament.vic.gov.au";"Southern Metropolitan";"GRN";;1;0;"206 Bay Street";;"Brighton";"VIC";3186;"(03) 9530 8399";;"(03) 9530 8499";;;;" ";;;;;;;;;;;;;;;;
;"Mrs";"Donna";"Petrovich";"Parliamentary Secretary for Sustainability and Environment; ";"donna.petrovich@parliament.vic.gov.au";"Northern Victoria";"LIB";;1;0;"84-86 Sydney Street";;"Kilmore";"VIC";3764;"(03) 5782 2011";;"(03) 5782 2099";;;;" ";;;;;;;;;;;;;;;;
;"Mrs";"Inga";"Peulich";"Parliamentary Secretary for Education; ";"inga.peulich@parliament.vic.gov.au";"South-Eastern Metropolitan";"LIB";;1;0;"376 Nepean Highway";;"Chelsea";"VIC";3196;"(03) 9772 1366";;"(03) 9772 4648";;;;" ";;;;;;;;;;;;;;;;
;;"Jaala";"Pulford";"Parliamentary Secretary to the Shadow Ministers for Regional and Rural Development and Agriculture since February 2012; ";"jaala.pulford@parliament.vic.gov.au";"Western Victoria";"ALP";;1;0;"15 Main Road";;"Ballarat";"VIC";3350;"(03) 5332 2405";;"(03) 5333 3109";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Simon";"Ramsay";;"simon.ramsay@parliament.vic.gov.au";"Western Victoria";"LIB";;1;0;"124 Koroit Street";;"Warrnambool";"VIC";3280;"(03) 5562 9155";;"(03) 5562 6254";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Gordon";"Rich-Phillips";"Assistant Treasurer; Minister for Technology; Minister responsible for the Aviation Industry; ";"gordon.rich-phillips@parliament.vic.gov.au";"South-Eastern Metropolitan";"LIB";;1;0;"1/31 Princes Highway";;"Dandenong";"VIC";3175;"(03) 9794 7667";;"(03) 9794 7856";3;0;"Level 5";"1 Macarthur Street";"East Melbourne";"VIC";3002;"(03) 9651 1044";;"(03) 9651 1088";;;;;;;;;;
;"Mr";"Johan";"Scheffer";;"johan.scheffer@parliament.vic.gov.au";"Eastern Victoria";"ALP";;1;0;"Unit 1";"23 James Street";"Pakenham";"VIC";3810;"(03) 5940 5010";;"(03) 5940 5011";3;1;"PO Box 876";" ";"Pakenham";"VIC";3810;;;;;;;;;;;;;
;"Mr";"Adem";"Somyurek";"Shadow Minister for Technology; Shadow Minister for Manufacturing; Shadow Minister for Electoral Reform; ";"adem.somyurek@parliament.vic.gov.au";"South-Eastern Metropolitan";"ALP";;1;0;"Unit 2";"24 Langhorne Street";"Dandenong";"VIC";3175;"(03) 9794 0699";;"(03) 9794 0414";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Lee";"Tarlamis";;"lee.tarlamis@parliament.vic.gov.au";"South-Eastern Metropolitan";"ALP";;1;0;"157a Sladen Street";;"Cranbourne";"VIC";3977;"(03) 5996 2901";;"(03) 5996 7829";;;;;;;;;;;;;;;;;;;;
;"Mr";"Brian";"Tee";"Shadow Minister for Planning; Shadow Minister for Sustainable Growth; ";"brian.tee@parliament.vic.gov.au";"Eastern Metropolitan";"ALP";;1;0;"128 Ayr Street";;"Doncaster";"VIC";3108;"(03) 9850 8600";;"(03) 9850 8611";;;;" ";;;;;;;;;;;;;;;;
;;"Gayle";"Tierney";"Parliamentary Secretary to the Shadow Minister for Employment; ";"gayle.tierney@parliament.vic.gov.au";"Western Victoria";"ALP";;1;0;"Ground Floor";"1 Yarra Street";"Geelong";"VIC";3220;"(03) 5224 2088";;"(03) 5224 2386";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Matt";"Viney";"Deputy President of the Legislative Council; ";"matthew.viney@parliament.vic.gov.au";"Eastern Victoria";"ALP";;1;0;"Unit 1";"9 Napier Street";"Warragul";"VIC";3820;"(03) 5622 3050";;"(03) 5622 2251";;;;;;;;;;;;;;;;;;;;
