"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;
;"Mr";"Murray";"Cowper";"Parliamentary Secretary to the Minsiter for Energy; Training and Workforce Development; Indigenous Affairs";"murray.cowper@mp.wa.gov.au";;"Murray-Wellington";;;;;;;;;;;;;;;1;1;"PO Box 480";;"Pinjarra";"WA";6208;;;;1;0;"Shop 1";"Pinjarra Junction Shopping Centre";"Pinjarra";"WA";6208;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"Day";"Minister for Planing; Culture and the Arts; Science and Innovation";"john.day@mp.wa.gov.au";"Minister.Day@dpc.wa.gov.au";"Kalamunda";;;;;4;0;"13th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005;;;;1;1;"PO Box 610";;"Kalamunda";"WA";6076;;;;1;0;"Unit 1";"14-16 Mead Street";"Kalamunda";"WA";6076;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Joe";"Francis";;"joseph.francis@mp.wa.gov.au";;"Jandakot";;;;;;;;;;;;;;;1;1;"PO Box 130 ";;"Bullcreek";"WA";6149;;;;1;0;"Suite 11";"Cnr Calley Drive and South Street";"Leeming";"WA";6149;;;;3;0;"Parliament House";;"Perth";6000
;"Ms";"Janine";"Freeman";;"nollamara@mp.wa.gov.au";;"Nollamara";;;;;;;;;;;;;;;1;1;"PO Box 669";;"Mirrabooka";"WA";6941;;;;1;0;"Shop 4";"1 Chesterfield Road";"Mirrabooka";"WA";6061;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Brendon";"Grylls";"Minister for Regional Development; Lands; Minister Assisting the Minister for State Development; Leader of the Parliamentary National Party";"brendon.grylls@mp.wa.gov.au";"Minister.Grylls@dpc.wa.gov.au";"Central Wheatbelt";;;;;4;0;"14th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005;;;;1;1;"PO Box 66";;"Merredin";"WA";6415;;;;1;0;"The Old Town Hall";"Mitchell Street";"Merredin";"WA";6415;;;;3;0;"Parliament House";;"Perth";6000
;"Dr";"Kim";"Hames";"Deputy Premier; Minister for Health; Tourism";"kim.hames@mp.wa.gov.au";"Minister.Hames@dpc.wa.gov.au";"Dawesville";;;;;4;0;"28th Floor, Governor Stirling Tower";"197 St Georges Terrace";"Perth";"WA";6000;;;;1;1;"PO Box 5551";;"Falcon";"WA";6210;;;;1;0;"Suite 2";"633 Old Coast Road";"Falcon";"WA";6210;;;;3;0;"Parliament House";;"Perth";6000
;"Mrs";"Liza";"Harvey";"Parliamentary Secretary to the Minister for Finance; Commerce; Small Business";"liza.harvey@mp.wa.gov.au";;"Scarborough";;;;;;;;;;;;;;;1;0;"197 Scarborough Beach Road";;"Doubleview";"WA";6005;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"Hyde";;"john.hyde@mp.wa.gov.au";;"Perth";;;;;;;;;;;;;;;1;0;"446 William Street";;"Perth";"WA";6000;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Albert";"Jacob";" ";"albert.jacob@mp.wa.gov.au";;"Ocean Reef";;;;;;;;;;;;;;;1;1;"PO Box 47";;"Joondalup";"WA";6919;;;;1;0;"Shop 22, Currambine Marketplace";"Marmion Avenue";"Currambine";"WA";6028;;;;3;0;"Parliament House";;"Perth";6000
;"Dr";"Graham";"Jacobs";;"graham.jacobs@mp.wa.gov.au";;"Eyre";;;;;;;;;;;;;;;1;1;"PO Box 1394";;"Esperance";"WA";6450;;;;1;0;"Fenwick House";"107 Dempster Street";"Esperance";"WA";6450;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Rob";"Johnson";"Minister for Police; Road Safety; Leader of the House";"rob.johnson@mp.wa.gov.au";"Minister.Johnson@dpc.wa.gov.au";"Hillarys";;;;;4;0;"20th Floor, Governor Stirling Tower";"197 St Georges Terrace";"Perth";"WA";6000;;;;1;0;"Suite 2, Endeavour House";"Cnr Endeavour Rd & Banks Ave";"Hillarys";"WA";6025;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Bill";"Johnston";;"cannington@mp.wa.gov.au";;"Cannington";;;;;;;;;;;;;;;1;1;"PO Box 1171";;"Cannington";"WA";6987;;;;1;0;"Unit 4";"10 Cecil Avenue";"Cannington";"WA";6107;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"Kobelke";;"john.kobelke@mp.wa.gov.au";;"Balcatta";;;;;;;;;;;;;;;1;1;"Locked Bag 5001";;"Osborne Park";"WA";6017;;;;1;0;"Suite 1";"136 Main Street";"Osborne Park";"WA";6917;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Tony";"Krsticevic";;"tony.krsticevic@mp.wa.gov.au";;"Carine";;;;;;;;;;;;;;;1;0;"Suite 6, Carine Glades Commerical Centre";"6 Davallia Road";"Duncraig";"WA";6023;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Fran";"Logan";;"fran.logan@mp.wa.gov.au";;"Cockburn";;;;;;;;;;;;;;;1;1;"PO Box 3483";;"Success";"WA";6964;;;;1;0;"Shop 30, Gateways Shopping";"Wentworth Avenue";"Success";"WA";6164;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Bill";"Marmion";"Minister for Environment; Water";"bill.marmion@mp.wa.gov.au";"Minister.Marmion@dpc.wa.gov.au";"Nedlands";;;;;4;0;"29th Floor, Allendale Square";"77 St Georges Terrace";"Perth";"WA";6000;;;;1;0;"Shop 1";"160 Hampden Road";"Nedlands";"WA";6009;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Mark";"McGowan";"Leader of the Opposition";"mark.mcgowan@mp.wa.gov.au";"leader@loop.wa.gov.au";"Rockingham";;;;;4;0;"Opposition Office";"Parliament House";"Perth";"WA";6000;;;;1;1;"PO Box 5324";;"Rockingham beach";"WA";6168;;;;1;0;"Shop 13, The Boardwalk";"7 Railway Terrace";"Rockingham";"WA";6168;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"McGrath";"Parliamentary Secretary to the Premier: Minister for State Development";"john.mcgrath@mp.wa.gov.au";;"South Perth";;;;;;;;;;;;;;;1;0;"Suite 8, The South Perth Enterprise Building";"219 Canning Highway";"South Perth";"WA";6151;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mrs";"Carol";"Martin";;"carol.martin@mp.wa.gov.au";;"Kimberley";;;;;;;;;;;;;;;1;1;"PO Box 1433";;"Broome";"WA";6725;;;;1;0;"19 Barker Street";;"Broome";"WA";6725;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Paul";"Miles";;"paul.miles@mp.wa.gov.au";;"Wanneroo";;;;;;;;;;;;;;;1;1;"PO Box 225";;"Wanneroo";"WA";6946;;;;1;0;"Wanneroo Central Shopping Precinct";"Rocca Way";"Wanneroo";"WA";6065;;;;3;0;"Parliament House";;"Perth";6000
;"Ms";"Andrea";"Mitchell";;"andrea.mitchell@mp.wa.gov.au";;"Kingsley";;;;;;;;;;;;;;;1;1;"PO Box 464";;"Greenwood";"WA";6924;;;;1;0;"Unit 4, Woodvale Park Commercial Centre";"923 Whitfords Avenue";"Woodvale";"WA";6065;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Mick";"Murray";;"mick.murray@mp.wa.gov.au";;"Collie-Preston";;;;;;;;;;;;;;;1;0;"76 Forrest Street";;"Collie";"WA";6225;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Dr";"Michael";"Nahan";;"michael.nahan@mp.wa.gov.au";;"Riverton";;;;;;;;;;;;;;;1;0;"Shop P05, Stockland Riverton";"Cnr of High Road & Willeri Drive";"Riverton";"WA";6148;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Tony";"O'Gorman";;"tony.ogorman@mp.wa.gov.au";;"Joondalup";;;;;;;;;;;;;;;1;1;"PO Box 1034";;"Joondalup";"WA";6919;;;;1;0;"Unit 2";"1 Wise Road";"Joondalup";"WA";6027;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Paul";"Papalia";;"paul.papalia@mp.wa.gov.au";;"Warnbro";;;;;;;;;;;;;;;1;1;"PO Box 8443";;"Warnbro";"WA";6169;;;;1;0;"Unit 10A";"2 Oasis Drive";"Secret Harbour";"WA";6173;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Christian";"Porter";"Treasurer; Attorney General";"christian.porter@mp.wa.gov.au";"Minister.Porter@dpc.wa.gov.au";"Bateman";;;;;4;0;"21st Floor, Governor Stirling Tower";"197 St Georges Terrace";"Perth";"WA";6000;;;;1;1;"PO Box 1641";;"Booragoon";"WA";6954;;;;1;0;"Riseley Corporate Centre, Suite 12";"135 Riseley Street";"Booragoon";"WA";6154;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"Quigley";;"john.quigley@mp.wa.gov.au";;"Mindarie";;;;;;;;;;;;;;;1;1;"PO Box 2024";;"Clarkson";"WA";6030;;;;1;0;"Shop 35, Ocean Keys Shopping Centre";"36 Ocean Keys Boulevard";"Clarkson";"WA";6030;;;;3;0;"Parliament House";;"Perth";6000
;"Ms";"Margaret";"Quirk";;"girrawheen@mp.wa.gov.au";;"Girrawheen";;;;;;;;;;;;;;;1;1;"PO Box 6085";;"Girrawheen";"WA";6064;;;;1;0;"Shop 10, Newpark Shopping Centre";"Templeton Crescent";"Girrawheen";"WA";6064;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Terry";"Redman";"Minister for Agriculture and Food; Forestry; Corrective Services";"terry.redman@mp.wa.gov.au";"Minister.Redman@dpc.wa.gov.au";"Blackwood-Stirling";;;;;4;0;"11th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005;;;;1;1;"PO Box 61";;"Mt Barker";"WA";6324;;;;1;0;"2A Langton Road";;"Mt Barker";"WA";6324;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Eric";" Ripper";;"eric.ripper@mp.wa.gov.au";;"Belmont";;;;;;;;;;;;;;;1;0;"Unit 6";"268 Belmont Avenue";"Cloverdale";"WA";6105;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mrs";"Michelle";"Roberts";;"midland@mp.wa.gov.au";;"Midland";;;;;;;;;;;;;;;1;1;"PO Box 1792";;"Midland";"WA";6936;;;;1;0;"Shop 5";"50 Helena Street";"Midland";"WA";6056;;;;3;0;"Parliament House";;"Perth";6000
;"Ms";"Rita";"Saffioti";;"westswan@mp.wa.gov.au";;"West Swan";;;;;;;;;;;;;;;1;1;"PO Box 2656";;"Malaga";"WA";6944;;;;1;0;"Unit 1";"23 Exhibition Drive";"Malaga";"WA";6944;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Tony";"Simpson";"Government Whip";"sjoffice@mp.wa.gov.au";;"Darling Range";;;;;;;;;;;;;;;1;1;"PO Box 56";;"Byford";"WA";6122;;;;1;0;"Suite 5";"837 South West Hwy";"Byford";"WA";6122;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Tom";"Stephens";;"tom.stephens@mp.wa.gov.au";;"Pilbara";;;;;;;;;;;;;;;1;1;"PO Box 2667";;"South Hedland";"WA";6722;;;;1;0;"Shop 26A";"South Hedland Shopping Centre";"South Hedland";"WA";6722;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Michael";"Sutherland";"Deputy Speaker";"michael.sutherland@mp.wa.gov.au";;"Mount Lawley";;;;;;;;;;;;;;;1;0;"Suite 2";"58 Walcott Street";"Mount Lawley";"WA";6050;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Chris";"Tallentire";;"chris.tallentire@mp.wa.gov.au";;"Gosnells";;;;;;;;;;;;;;;1;0;"Unit 1";"314-316 Spencer Road";"Thornlie";"WA";6108;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"David";"Templeman";"Opposition Whip";"david.templeman@mp.wa.gov.au";;"Mandurah";;;;;;;;;;;;;;;1;1;"PO Box 1509";;"Mandurah";"WA";6210;;;;1;0;"4 Sutton Street";;"Mandurah";"WA";6210;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Peter";"Tinley";;"willagee@mp.wa.gov.au";;"Willagee";;;;;;;;;;;;;;;1;1;"PO Box 124";;"Hamilton Hlll";"WA";6963;;;;1;0;"Shop 13";"Simms Road";"Hamilton Hlll";"WA";6163;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Andrew";"Waddell";;"andrew.waddell@mp.wa.gov.au";;"Forrestfield";;;;;;;;;;;;;;;1;1;"PO Box 2269";;"High Wycombe";"WA";6057;;;;1;0;"Shops 7 & 8, High Wycombe Village Shopping Centre";"530 Kalamunda Road";"High Wycombe";"WA";6057;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Terry";"Waldron";"Minister for Sport and Recreation; Racing and Gaming; Deputy Leader of the Parliamentary National Party (WA)";"terry.waldron@mp.wa.gov.au";"Minister.Waldron@dpc.wa.gov.au";"Wagin";;;;;4;0;"8th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005;;;;1;1;"PO Box 430";;"Narrogin";"WA";6312;;;;1;0;"Shop 3, Narrogin Shopping Centre";"83 Federal Street";"Narrogin";"WA";6312;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Peter";"Watson";;"peter.watson@mp.wa.gov.au";;"Albany";;;;;;;;;;;;;;;1;1;"PO Box 5844";;"Albany";"WA";6332;;;;1;0;"Suite 1";"91-93 Aberdeen Street";"Albany";"WA";6330;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Martin";"Whitely";;"martin.whitely@mp.wa.gov.au";;"Bassendean";;;;;;;;;;;;;;;1;0;"6 Old Perth Road";;"Bassendean";"WA";6054;;;;2;0;"Unit 7";"488 Walter Road";"Bayswater";"WA";6053;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Grant";"Woodhams";"Speaker of the Legislative Assembly";"grant.woodhams@mp.wa.gov.au";;"Moore";;;;;;;;;;;;;;;1;1;"PO Box 1487";;"Geraldton";"WA";6531;;;;1;0;"Unit 1";"5 Chapman Road";"Geraldton";"WA";6530;;;;3;0;"Parliament House";;"Perth";6000
;"Dr";"Janet";"Woollard";;"janet.woollard@mp.wa.gov.au";;"Alfred Cove";;;;;;;;;;;;;;;1;0;"Suite 1";"30 Ardross";"Applecross";"WA";6153;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Benjamin";"Wyatt";;"victoriapark@mp.wa.gov.au";;"Victoria Park";;;;;;;;;;;;;;;1;1;"PO Box 4373";;"Victoria Park";"WA";6949;;;;1;0;"Shop 2";"896 Albany Hwy";"East Victoria";"WA";6101;;;;3;0;"Parliament House";;"Perth";6000
